,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
244,245,837092,汉鑫科技,45.45,3.91,1.71,34689.0,156582269.92,8.69,46.9,43.1,43.8,43.74,2.12,10.86,-90.06,7.28,2821522365.0,1451205092.0,-0.11,-0.11,-17.66,29.86
245,246,837748,路桥信息,59.99,3.9,2.25,98567.0,605020979.4,35.5,74.8,54.3,55.0,57.74,1.13,15.81,-175.36,14.64,4603632600.0,3740231024.0,0.67,-2.12,109.02,207.33
246,247,688399,硕世生物,74.43,3.89,2.79,15159.0,112241326.0,4.9,74.99,71.48,71.74,71.64,3.19,2.67,82.26,1.29,4217954203.0,4217954203.0,-0.01,-0.05,8.36,13.25
247,248,002114,罗平锌电,6.95,3.89,0.26,341256.0,239212495.22,8.37,7.3,6.74,6.75,6.69,1.38,10.55,-12.48,2.5,2247597106.0,2247566220.0,-0.14,-0.14,-2.39,23.23
248,249,002397,梦洁股份,3.74,3.89,0.14,351505.0,130316644.4,7.5,3.85,3.58,3.61,3.6,2.12,5.74,69.66,2.34,2796702597.0,2291264201.0,-0.27,-0.27,0.27,27.21
249,250,000045,深纺织Ａ,11.51,3.88,0.43,242119.0,276113253.47,7.94,11.88,11.0,11.09,11.08,1.29,5.3,69.86,1.99,5830066482.0,5260079772.0,0.0,0.0,8.79,9.0
250,251,600692,亚通股份,7.25,3.87,0.27,232302.0,169082279.0,8.31,7.55,6.97,6.98,6.98,3.52,9.11,-59.84,2.75,2550289464.0,1848826248.0,0.14,0.0,-1.23,-19.62
251,252,000697,ST炼石,7.27,3.86,0.27,135501.0,97351888.04,4.29,7.35,7.05,7.09,7.0,2.06,2.29,-29.45,69.44,6347443369.0,4295817039.0,0.0,0.0,-6.31,-17.67
252,253,688488,艾迪药业,13.52,3.84,0.5,185535.0,246896759.0,6.37,13.74,12.91,13.02,13.02,1.02,4.41,91.28,5.71,5688983564.0,5688983564.0,-0.07,0.07,36.84,72.01
253,254,834021,流金科技,7.3,3.84,0.27,339654.0,244392175.13,5.69,7.35,6.95,7.2,7.03,3.08,13.48,336.69,3.53,2255699876.0,1838738388.0,0.0,-0.14,-5.44,36.19
254,255,300475,香农芯创,32.0,3.83,1.18,273505.0,864640578.33,5.39,32.28,30.62,30.62,30.82,1.98,6.21,218.82,4.98,14642104544.0,14087704544.0,-0.03,0.03,-21.07,12.56
255,256,688518,联赢激光,17.91,3.83,0.66,277687.0,498099291.0,6.38,18.36,17.26,17.3,17.25,3.65,8.14,32.57,1.95,6113132451.0,6113132451.0,0.06,0.06,1.65,14.15
256,257,603353,XD和顺石,16.32,3.82,0.6,117398.0,193548814.0,10.5,17.29,15.64,15.71,15.72,2.53,6.89,56.19,1.73,2829790080.0,2781221760.0,0.12,0.18,13.97,2.97
257,258,002528,ST英飞拓,2.73,3.8,0.1,294816.0,79999765.74,4.94,2.75,2.62,2.62,2.63,1.78,2.81,170.91,18.04,3272382974.0,2865791860.0,-0.36,0.0,8.33,-4.55
258,259,002093,国脉科技,11.54,3.78,0.42,738294.0,852716167.42,5.49,11.82,11.21,11.21,11.12,2.6,7.33,31.81,3.1,11626550000.0,11619236525.0,0.0,-0.09,15.86,47.95
259,260,603906,龙蟠科技,13.73,3.78,0.5,915020.0,1243846174.0,9.6,14.2,12.93,13.44,13.23,1.49,16.19,-87.98,3.2,9131533338.0,7758533338.0,0.0,0.29,14.42,32.53
260,261,603800,洪田股份,23.89,3.78,0.87,54646.0,129422742.0,6.3,24.3,22.85,23.02,23.02,1.59,2.63,-49.2,6.26,4969120000.0,4969120000.0,0.0,-0.08,-23.31,-5.39
261,262,300710,万隆光电,21.49,3.77,0.78,91364.0,198098685.11,6.57,22.5,21.14,21.2,20.71,1.87,11.35,-142.67,4.54,2138046547.0,1729787822.0,-0.05,0.14,13.94,20.32
262,263,688310,迈得医疗,15.46,3.76,0.56,61615.0,93066025.0,7.32,15.55,14.46,14.82,14.9,1.17,3.71,-59.5,3.27,2569756407.0,2569756407.0,0.39,0.52,29.92,43.15
