,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,000030.SZ,20250609,6.2,6.28,6.06,6.09,6.21,-0.12,-1.9324,127868.5,78657.712
1,000030.SZ,20250606,6.07,6.24,6.02,6.21,6.07,0.14,2.3064,130228.6,80030.696
2,000030.SZ,20250605,6.03,6.09,5.96,6.07,6.03,0.04,0.6633,73355.01,44133.667
3,000030.SZ,20250604,6.09,6.09,5.97,6.03,6.05,-0.02,-0.3306,83186.34,50016.013
4,000030.SZ,20250603,6.11,6.12,6.04,6.05,6.09,-0.04,-0.6568,90809.46,55139.785
5,000030.SZ,20250530,6.25,6.25,6.06,6.09,6.27,-0.18,-2.8708,121166.44,74334.48
6,000030.SZ,20250529,6.16,6.33,6.14,6.27,6.17,0.1,1.6207,103561.85,64928.648
7,000030.SZ,20250528,6.15,6.24,6.12,6.17,6.16,0.01,0.1623,96850.26,59933.757
8,000030.SZ,20250527,6.17,6.22,6.06,6.16,6.18,-0.02,-0.3236,89415.6,54885.767
9,000030.SZ,20250526,6.18,6.28,6.12,6.18,6.18,0.0,0.0,104503.4,64961.931
10,000030.SZ,20250523,6.33,6.37,6.14,6.18,6.31,-0.13,-2.0602,140277.67,87807.349
11,000030.SZ,20250522,6.38,6.43,6.3,6.31,6.41,-0.1,-1.5601,118209.01,75170.25
12,000030.SZ,20250521,6.31,6.5,6.28,6.41,6.31,0.1,1.5848,189536.0,121488.968
13,000030.SZ,20250520,6.19,6.35,6.19,6.31,6.23,0.08,1.2841,173683.58,109235.115
14,000030.SZ,20250519,6.21,6.3,6.07,6.23,6.24,-0.01,-0.1603,145673.57,89942.726
15,000030.SZ,20250516,6.09,6.4,6.08,6.24,6.12,0.12,1.9608,183066.64,114418.715
16,000030.SZ,20250515,6.13,6.16,6.06,6.12,6.13,-0.01,-0.1631,63909.84,39039.308
17,000030.SZ,20250514,6.12,6.19,6.04,6.13,6.17,-0.04,-0.6483,107204.87,65557.765
18,000030.SZ,20250513,6.2,6.27,6.1,6.17,6.15,0.02,0.3252,153412.63,94989.588
19,000030.SZ,20250512,6.27,6.35,6.09,6.15,6.13,0.02,0.3263,149842.84,92594.217
20,000030.SZ,20250509,6.09,6.22,6.03,6.13,6.06,0.07,1.1551,180554.27,110803.339
21,000030.SZ,20250508,6.0,6.18,5.99,6.06,6.01,0.05,0.8319,139662.33,85259.612
22,000030.SZ,20250507,6.0,6.11,5.99,6.01,5.98,0.03,0.5017,144634.34,87432.246
23,000030.SZ,20250506,5.9,5.99,5.89,5.98,5.87,0.11,1.8739,134787.29,80327.487
24,000030.SZ,20250430,5.85,5.99,5.83,5.87,5.91,-0.04,-0.6768,127256.45,74890.951
25,000030.SZ,20250429,5.94,5.99,5.72,5.91,5.98,-0.07,-1.1706,182193.28,107256.435
26,000030.SZ,20250428,6.0,6.06,5.95,5.98,6.04,-0.06,-0.9934,145645.28,87467.451
27,000030.SZ,20250425,5.95,6.11,5.95,6.04,5.99,0.05,0.8347,147995.2,89286.12
28,000030.SZ,20250424,5.93,6.03,5.93,5.99,5.96,0.03,0.5034,157489.6,94182.688
29,000030.SZ,20250423,5.88,6.02,5.85,5.96,5.84,0.12,2.0548,181753.29,108168.284
