,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_INCOME_YOY,OPERATE_INCOME,OPERATE_INCOME_YOY,INTEREST_INCOME,INTEREST_INCOME_YOY,EARNED_PREMIUM,EARNED_PREMIUM_YOY,FEE_COMMISSION_INCOME,FEE_COMMISSION_INCOME_YOY,OTHER_BUSINESS_INCOME,OTHER_BUSINESS_INCOME_YOY,TOI_OTHER,TOI_OTHER_YOY,TOTAL_OPERATE_COST,TOTAL_OPERATE_COST_YOY,OPERATE_COST,OPERATE_COST_YOY,INTEREST_EXPENSE,INTEREST_EXPENSE_YOY,FEE_COMMISSION_EXPENSE,FEE_COMMISSION_EXPENSE_YOY,RESEARCH_EXPENSE,RESEARCH_EXPENSE_YOY,SURRENDER_VALUE,SURRENDER_VALUE_YOY,NET_COMPENSATE_EXPENSE,NET_COMPENSATE_EXPENSE_YOY,NET_CONTRACT_RESERVE,NET_CONTRACT_RESERVE_YOY,POLICY_BONUS_EXPENSE,POLICY_BONUS_EXPENSE_YOY,REINSURE_EXPENSE,REINSURE_EXPENSE_YOY,OTHER_BUSINESS_COST,OTHER_BUSINESS_COST_YOY,OPERATE_TAX_ADD,OPERATE_TAX_ADD_YOY,SALE_EXPENSE,SALE_EXPENSE_YOY,MANAGE_EXPENSE,MANAGE_EXPENSE_YOY,ME_RESEARCH_EXPENSE,ME_RESEARCH_EXPENSE_YOY,FINANCE_EXPENSE,FINANCE_EXPENSE_YOY,FE_INTEREST_EXPENSE,FE_INTEREST_EXPENSE_YOY,FE_INTEREST_INCOME,FE_INTEREST_INCOME_YOY,ASSET_IMPAIRMENT_LOSS,ASSET_IMPAIRMENT_LOSS_YOY,CREDIT_IMPAIRMENT_LOSS,CREDIT_IMPAIRMENT_LOSS_YOY,TOC_OTHER,TOC_OTHER_YOY,FAIRVALUE_CHANGE_INCOME,FAIRVALUE_CHANGE_INCOME_YOY,INVEST_INCOME,INVEST_INCOME_YOY,INVEST_JOINT_INCOME,INVEST_JOINT_INCOME_YOY,NET_EXPOSURE_INCOME,NET_EXPOSURE_INCOME_YOY,EXCHANGE_INCOME,EXCHANGE_INCOME_YOY,ASSET_DISPOSAL_INCOME,ASSET_DISPOSAL_INCOME_YOY,ASSET_IMPAIRMENT_INCOME,ASSET_IMPAIRMENT_INCOME_YOY,CREDIT_IMPAIRMENT_INCOME,CREDIT_IMPAIRMENT_INCOME_YOY,OTHER_INCOME,OTHER_INCOME_YOY,OPERATE_PROFIT_OTHER,OPERATE_PROFIT_OTHER_YOY,OPERATE_PROFIT_BALANCE,OPERATE_PROFIT_BALANCE_YOY,OPERATE_PROFIT,OPERATE_PROFIT_YOY,NONBUSINESS_INCOME,NONBUSINESS_INCOME_YOY,NONCURRENT_DISPOSAL_INCOME,NONCURRENT_DISPOSAL_INCOME_YOY,NONBUSINESS_EXPENSE,NONBUSINESS_EXPENSE_YOY,NONCURRENT_DISPOSAL_LOSS,NONCURRENT_DISPOSAL_LOSS_YOY,EFFECT_TP_OTHER,EFFECT_TP_OTHER_YOY,TOTAL_PROFIT_BALANCE,TOTAL_PROFIT_BALANCE_YOY,TOTAL_PROFIT,TOTAL_PROFIT_YOY,INCOME_TAX,INCOME_TAX_YOY,EFFECT_NETPROFIT_OTHER,EFFECT_NETPROFIT_OTHER_YOY,EFFECT_NETPROFIT_BALANCE,EFFECT_NETPROFIT_BALANCE_YOY,UNCONFIRM_INVEST_LOSS,UNCONFIRM_INVEST_LOSS_YOY,NETPROFIT,NETPROFIT_YOY,PRECOMBINE_PROFIT,PRECOMBINE_PROFIT_YOY,CONTINUED_NETPROFIT,CONTINUED_NETPROFIT_YOY,DISCONTINUED_NETPROFIT,DISCONTINUED_NETPROFIT_YOY,PARENT_NETPROFIT,PARENT_NETPROFIT_YOY,MINORITY_INTEREST,MINORITY_INTEREST_YOY,DEDUCT_PARENT_NETPROFIT,DEDUCT_PARENT_NETPROFIT_YOY,NETPROFIT_OTHER,NETPROFIT_OTHER_YOY,NETPROFIT_BALANCE,NETPROFIT_BALANCE_YOY,BASIC_EPS,BASIC_EPS_YOY,DILUTED_EPS,DILUTED_EPS_YOY,OTHER_COMPRE_INCOME,OTHER_COMPRE_INCOME_YOY,PARENT_OCI,PARENT_OCI_YOY,MINORITY_OCI,MINORITY_OCI_YOY,PARENT_OCI_OTHER,PARENT_OCI_OTHER_YOY,PARENT_OCI_BALANCE,PARENT_OCI_BALANCE_YOY,UNABLE_OCI,UNABLE_OCI_YOY,CREDITRISK_FAIRVALUE_CHANGE,CREDITRISK_FAIRVALUE_CHANGE_YOY,OTHERRIGHT_FAIRVALUE_CHANGE,OTHERRIGHT_FAIRVALUE_CHANGE_YOY,SETUP_PROFIT_CHANGE,SETUP_PROFIT_CHANGE_YOY,RIGHTLAW_UNABLE_OCI,RIGHTLAW_UNABLE_OCI_YOY,UNABLE_OCI_OTHER,UNABLE_OCI_OTHER_YOY,UNABLE_OCI_BALANCE,UNABLE_OCI_BALANCE_YOY,ABLE_OCI,ABLE_OCI_YOY,RIGHTLAW_ABLE_OCI,RIGHTLAW_ABLE_OCI_YOY,AFA_FAIRVALUE_CHANGE,AFA_FAIRVALUE_CHANGE_YOY,HMI_AFA,HMI_AFA_YOY,CASHFLOW_HEDGE_VALID,CASHFLOW_HEDGE_VALID_YOY,CREDITOR_FAIRVALUE_CHANGE,CREDITOR_FAIRVALUE_CHANGE_YOY,CREDITOR_IMPAIRMENT_RESERVE,CREDITOR_IMPAIRMENT_RESERVE_YOY,FINANCE_OCI_AMT,FINANCE_OCI_AMT_YOY,CONVERT_DIFF,CONVERT_DIFF_YOY,ABLE_OCI_OTHER,ABLE_OCI_OTHER_YOY,ABLE_OCI_BALANCE,ABLE_OCI_BALANCE_YOY,OCI_OTHER,OCI_OTHER_YOY,OCI_BALANCE,OCI_BALANCE_YOY,TOTAL_COMPRE_INCOME,TOTAL_COMPRE_INCOME_YOY,PARENT_TCI,PARENT_TCI_YOY,MINORITY_TCI,MINORITY_TCI_YOY,PRECOMBINE_TCI,PRECOMBINE_TCI_YOY,EFFECT_TCI_BALANCE,EFFECT_TCI_BALANCE_YOY,TCI_OTHER,TCI_OTHER_YOY,TCI_BALANCE,TCI_BALANCE_YOY,ACF_END_INCOME,ACF_END_INCOME_YOY,OPINION_TYPE
0,835207.BJ,835207,众诚科技,10492722,通用,2025-03-31 00:00:00,一季报,2025一季报,058001001,2025-04-29 00:00:00,2025-04-29 00:00:00,CNY,65408861.26,-43.1176818792,65408861.26,-43.1176818792,,,,,,,,,,,70761480.19,-37.7397583339,53798421.85,-43.2081816179,,,,,5791096.9,-16.4904093652,,,,,,,,,,,,,257451.22,-38.5336331168,5674272.25,-4.0567611451,3930772.94,-17.1195628012,,,1309465.03,43.1442136612,1227431.94,33.6459679122,,,,,,,,,,,-20190.28,49.6895822997,,,,,,,,,269923.32,381.9036101085,-2838738.69,-198.9891866016,1006219.94,134.0110208123,,,0,,-6935404.64,-933.7252342604,,,,,,,,,,,0,,-6935404.64,-980.6210872104,-332684.62,-196.2810951454,,,,,,,-6602720.02,-833.7618137272,,,,,,,-6527043.36,-877.089288359,-75676.66,-226.3165256615,-7306691.51,-1526.7180469567,,,,,-0.07,-800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,835207.BJ,835207,众诚科技,10492722,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-04-29 00:00:00,2025-04-29 00:00:00,CNY,334630713.12,-1.2118855518,334630713.12,-1.2118855518,,,,,,,,,,,340812422.37,4.0223246181,271222056.67,8.3672199613,,,,,24963970.9,-9.5159309244,,,,,,,,,,,,,1263283.21,-27.838953986,24938005.31,-12.8804520469,15874911.9,-15.422071613,,,2550194.38,312.131659144,4187692.69,92.6438209597,1820092.28,8.2497282876,,,,,,,,,-3022.69,-101.9191944525,139465.6,-50.2053544982,,,,,,,-4941946.78,-237.4894548775,-34415986.29,-137.7254167353,8099653.36,-10.9623985174,,,0,,-37443011.65,-935.6437836383,6211.84,34.1763129076,,,83519.23,67.03846,,,,,0,,-37520319.04,-945.9347501535,-3561337.71,-1851.3967519695,,,,,,,-33958981.33,-835.3819320196,,,-33958981.33,-835.3819320196,,,-33947070.07,-835.0589920704,-11911.26,-2816.8527769615,-41220813.57,-1223.5986926686,,,,,-0.37,-840.0,-0.37,-840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33958981.33,-835.3819320196,-33947070.07,-835.0589920704,-11911.26,-2816.8527769615,,,,,,,,,,,标准无保留意见
2,835207.BJ,835207,众诚科技,10492722,通用,2024-09-30 00:00:00,三季报,2024三季报,058001001,2024-10-30 00:00:00,2024-10-30 00:00:00,CNY,251488686.25,24.521642165,251488686.25,24.521642165,,,,,,,,,,,262732969.82,27.736284505,206720173.14,39.3808380781,,,,,22177201.87,6.7656028896,,,,,,,,,,,,,885593.84,-31.3642145468,18722810.58,-7.2219541137,12398404.33,-16.9767712372,,,1828786.06,839.3310964468,2842654.83,103.463800243,549322.3,-60.0162644875,,,,,,,,,-144139.43,-155.1242967169,-144139.43,-155.1242967169,,,,,,,-142301.06,64.8700180601,-24605484.09,-427.4865381084,5176461.71,82.8573571574,,,0,,-30959746.44,-449.7586020573,6208.91,195.930127258,,,48639.33,-2.72134,,,,,0,,-31002176.86,-445.8688658228,-3473597.17,-2520.5141933444,,,,,,,-27528579.69,-396.2908375633,,,-27528579.69,-396.2908375633,,,-27575017.29,-407.725731059,46437.6,140.1087829905,-31923477.29,-307.1464193497,,,,,-0.3,-400.0,-0.3,-400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27528579.69,-396.2908375633,-27575017.29,-407.725731059,46437.6,140.1087829905,,,,,,,,,,,
3,835207.BJ,835207,众诚科技,10492722,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2024-08-28 00:00:00,2024-08-28 00:00:00,CNY,197424049.1,57.0394892901,197424049.1,57.0394892901,,,,,,,,,,,201775157.48,54.5077917127,165906935.22,77.0070345692,,,,,13191550.1,-0.0151467969,,,,,,,,,,,,,632526.96,-8.2037783456,12489528.29,-6.3931861073,8246718.84,-13.5773994623,,,1307898.07,1265.9294459168,1831501.02,97.8492080057,399091.14,-58.3192115771,,,,,,,,,-106488.9,-146.9176267939,-72753.38,-132.0541946704,,,,,,,-37102.04,-110.7779309393,-22071552.44,-132.6556116363,3100122.71,216.0571226373,,,0,,-23466129.05,-84.1228697771,6207.85,200.2311758532,,,48557.53,,,,,,0,,-23508478.73,-84.4850895521,-3100752.5,-124.6032981625,,,,,,,-20407726.23,-79.6105922881,,,-20407726.23,-79.6105922881,,,-20403277.04,-80.4028944507,-4449.19,91.5038839093,-22987667.53,-89.3536835167,,,,,-0.22,-83.3333333333,-0.22,-83.3333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20407726.23,-79.6105922881,-20403277.04,-80.4028944507,-4449.19,91.5038839093,,,,,,,,,,,
4,835207.BJ,835207,众诚科技,10492722,通用,2024-03-31 00:00:00,一季报,2024一季报,058001001,2024-04-26 00:00:00,2025-04-29 00:00:00,CNY,114989795.46,101.5682810747,114989795.46,101.5682810747,,,,,,,,,,,113654361.59,95.386910886,94729176.46,138.8305046961,,,,,6934648.89,13.6898959267,,,,,,,,,,,,,418848.93,27.9685760802,5914197.1,-20.0108401311,4742702.95,0.7114722676,,,914787.26,3793.7028918123,918420.48,117.3082183572,,,,,,,,,,,-40131.41,-7.926612482,,,,,,,,,56011.89,9.8678002094,-949445.27,76.7060204765,429988.27,90.1978677972,,,0,,831857.35,116.7802445628,4201.42,3793.448243907,,,48500.45,,,,,,0,,787558.32,115.8869893879,-112286.82,-50.4784651164,,,,,,,899845.14,118.4295039648,,,,,,,839934.8,117.6126104471,59910.34,152.6945255615,512132.83,110.3337607502,,,,,0.01,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,835207.BJ,835207,众诚科技,10492722,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2024-04-26 00:00:00,2025-04-29 00:00:00,CNY,338735803.38,-10.1349406316,338735803.38,-10.1349406316,,,,,,,,,,,327633922.45,-5.6473056305,250280533.88,-8.3630534875,,,,,27589354.85,12.4743921181,,,,,,,,,,,,,1750644.26,-27.2838157139,28625039.84,3.8430857376,18769568.14,8.0339826645,,,618781.48,-72.4446450545,2173800.68,-27.0742406173,1681382.77,117.0190793271,,,,,,,,,157497.85,129.7013739723,280081.52,152.7989264427,,,,,65996.04,,-1464326.28,-47.8328937782,-14477200.95,-23.3828946346,9096890.78,143.904644778,,,0,,4480738.37,-77.7848771108,4629.61,-99.2682807288,,,50000.0,-84.14929588,,,,,0,,4435367.98,-78.3503569764,-182501.98,-117.2330628238,,,,,,,4617869.96,-76.2308570128,,,4617869.96,-76.2308570128,,,4618278.32,-76.8147492884,-408.36,99.9168363569,-3114298.45,-118.8918298821,,,,,0.05,-80.0,0.05,-80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4617869.96,-76.2308570128,4618278.32,-76.8147492884,-408.36,99.9168363569,,,,,,,,,,,标准无保留意见
6,835207.BJ,835207,众诚科技,10492722,通用,2023-09-30 00:00:00,三季报,2023三季报,058001001,2023-10-27 00:00:00,2024-10-30 00:00:00,CNY,201963836.87,-35.7060825335,201963836.87,-35.7060825335,,,,,,,,,,,205683898.54,-28.4098319968,148313194.26,-35.202219064,,,,,20771860.29,1.6976826783,,,,,,,,,,,,,1290280.04,-46.3694099683,20180216.56,4.9104852105,14933657.14,5.7952111042,,,194690.25,-91.3045536836,1397130.51,-34.5265844474,1373864.38,272.6959993266,,,,,,,,,261480.76,140.8744103315,261480.76,140.861830189,,,,,65926.13,,-405070.12,-11.707744146,-4664665.79,42.9023230943,2830874.18,-14.7892086461,,,0,,-5631516.51,-126.8568250942,2098.1,-81.7341143122,,,50000.0,-40.9225976145,,,,,0,,-5679418.41,-127.1800868894,-132554.03,-106.1318460871,,,,,,,-5546864.38,-129.6088885556,,,-5546864.38,-129.6088885556,,,-5431085.25,-128.5797338394,-115779.13,57.038212604,-7840785.47,-148.2587479895,,,,,-0.06,-123.0769230769,-0.06,-123.0769230769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5546864.38,-129.6088885556,-5431085.25,-128.5797338394,-115779.13,57.038212604,,,,,,,,,,,
7,835207.BJ,835207,众诚科技,10492722,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-08-25 00:00:00,2024-08-28 00:00:00,CNY,125716181.32,-47.1259902905,125716181.32,-47.1259902905,,,,,,,,,,,130592221.43,-36.7171882381,93729006.66,-44.4191164457,,,,,13193548.5,-5.3399706314,,,,,,,,,,,,,689055.55,-48.5935681325,13342541.82,11.2587383031,9542317.39,3.1152653052,,,95751.51,-92.0400505089,925705.51,-36.5465752117,957494.22,238.1267650015,,,,,,,,,226969.92,183.4052367057,226969.92,183.3608374856,,,,,65926.13,,344240.84,286.3579331449,-9486791.35,-43.4018719518,980874.18,-34.6831840278,,,0,,-12744820.39,-149.3372763765,2067.69,-80.0896677037,,,,,,,,,0,,-12742752.7,-149.4666435823,-1380546.29,-154.3607895231,,,,,,,-11362206.41,-148.931380943,,,-11362206.41,-148.931380943,,,-11309839.07,-148.1747050542,-52367.34,79.5458007509,-12140068.84,-154.52623981,,,,,-0.12,-137.5,-0.12,-137.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11362206.41,-148.931380943,-11309839.07,-148.1747050542,-52367.34,79.5458007509,,,,,,,,,,,
8,835207.BJ,835207,众诚科技,10492722,通用,2023-03-31 00:00:00,一季报,2023一季报,058001001,2023-04-26 00:00:00,2024-04-26 00:00:00,CNY,57047564.65,-28.6574353874,57047564.65,-28.6574353874,,,,,,,,,,,58168871.74,-24.7775380723,39663767.65,-34.490846421,,,,,6099617.59,-1.7669663482,,,,,,,,,,,,,327306.08,68.1745818064,7393748.24,26.6529390579,4709198.31,20.1190242422,,,-24766.13,-103.9944523113,422634.95,-43.0928245299,,,,,,,,,,,-37183.98,79.3386612174,,,,,,,,,50981.17,127.4959557926,-4075925.58,-53.229484828,226074.18,-65.6274746084,,,0,,-4957361.3,-1963.1804016878,107.91,-99.9245408309,,,,,,,,,0,,-4957253.39,-1311.8221323782,-74619.86,67.2553345338,,,,,,,-4882633.53,-866.55458765,,,,,,,-4768939.86,-706.7313139888,-113693.67,23.7195185649,-4955919.17,-4422.1565942176,,,,,-0.05,-600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,835207.BJ,835207,众诚科技,10492722,通用,2022-12-31 00:00:00,年报,2022年报,058001001,2023-04-26 00:00:00,2024-04-26 00:00:00,CNY,376938273.63,-26.7458936101,376938273.63,-26.7458936101,,,,,,,,,,,347243843.58,-26.0532249826,273121861.22,-29.956425426,,,,,24529454.51,-18.0040779688,,,,,,,,,,,,,2407502.92,-0.3924174042,27565667.6,23.7203980169,17373763.03,-4.039477182,,,2245594.3,-67.6271381064,2980840.65,-60.3709158572,774762.65,-13.2265595976,,,,,,,,,-530271.26,76.2948935593,-530468.21,-122.1924035132,,,,,,,-990528.05,-62.8282293184,-11733555.93,-67.6392034356,3729691.49,-70.7473170636,,,0,,20169766.3,-57.875930216,632703.03,-10.3095572768,,,315443.4,326.1153595208,,,,,0,,20487025.93,-57.7702117808,1059022.31,-80.0785750663,,,,,,,19428003.62,-55.0248683148,,,19428003.62,-55.0248683148,,,19919035.5,-53.5095583847,-491031.88,-239.5885962896,16484895.69,-47.6373704519,,,,,0.25,-56.8965517241,0.25,-56.8965517241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19428003.62,-55.0248683148,19919035.5,-53.5095583847,-491031.88,-239.5885962896,,,,,,,,,,,标准无保留意见
