,排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
258,259,荣耀概念,BK1177,1505.05,-1.89,-0.13,940867424000,1.2,21,31,慧博云通,4.85
259,260,快手概念,BK0972,1500.09,-1.99,-0.13,260453584000,4.36,12,18,每日互动,5.12
260,261,预制菜概念,BK1025,1129.33,-1.58,-0.14,634186416000,1.66,24,29,光明肉业,2.85
261,262,央视50_,BK0610,2242.31,-3.38,-0.15,15947818496000,0.23,21,28,兆易创新,4.7
262,263,多模态AI,BK1153,1162.18,-1.8,-0.15,846281664000,3.24,18,36,中衡设计,10.02
263,264,3D玻璃,BK0881,1124.78,-1.7,-0.15,273932464000,1.7,4,12,*ST合泰,3.69
264,265,MicroLED,BK0948,946.44,-1.42,-0.15,433640688000,0.99,7,14,联赢激光,3.83
265,266,贬值受益,BK0812,1383.88,-2.26,-0.16,2323854592000,1.78,80,88,XD共创草,10.0
266,267,创业成份,BK0638,1675.25,-2.72,-0.16,5778104064000,1.47,33,67,新诺威,20.0
267,268,统一大市场,BK1077,1261.05,-2.2,-0.17,376913376000,1.45,14,22,天顺股份,3.71
268,269,人脑工程,BK0706,4438.72,-7.78,-0.17,412809440000,2.62,8,15,爱朋医疗,6.71
269,270,青蒿素,BK0872,1600.45,-2.79,-0.17,275741920000,1.1,4,6,德龙汇能,1.69
270,271,参股券商,BK0514,13463.44,-23.83,-0.18,3953372080000,1.08,56,67,宁波建工,9.93
271,272,无线耳机,BK0893,1816.11,-3.29,-0.18,2054975152000,2.18,30,53,天洋新材,6.31
272,273,深股通,BK0804,1017.13,-1.83,-0.18,29449038336000,1.78,531,796,石基信息,10.01
273,274,股权激励,BK0567,2942.76,-5.31,-0.18,4609757440000,2.1,85,113,厦门信达,10.08
274,275,旅游概念,BK0692,1645.15,-3.03,-0.18,256790170000,1.83,11,17,南京商旅,2.53
275,276,核能核电,BK0577,2212.19,-4.28,-0.19,3068241120000,1.23,64,81,七丰精工,7.51
276,277,小米汽车,BK1155,1373.58,-2.6,-0.19,3511838240000,1.81,29,45,厦门信达,10.08
277,278,独家药品,BK0676,2444.97,-4.55,-0.19,724300128000,1.25,16,23,艾迪药业,3.84
278,279,核污染防治,BK0983,1287.35,-2.46,-0.19,349730192000,1.32,11,16,海伦哲,1.8
279,280,参股期货,BK0524,27813.79,-53.28,-0.19,2859213088000,0.74,15,28,南华期货,7.97
280,281,粤港自贸,BK0677,3042.81,-6.22,-0.2,1032820656000,1.48,34,36,ST证通,2.59
281,282,鸿蒙概念,BK0953,1533.04,-3.08,-0.2,2210150352000,3.19,48,68,天山电子,5.54
282,283,影视概念,BK0847,898.51,-1.84,-0.2,590377776000,1.99,24,39,天府文旅,5.5
283,284,人工智能,BK0800,1579.85,-3.36,-0.21,9471656448000,2.52,241,360,华体科技,10.01
284,285,智谱AI,BK1182,1162.63,-2.45,-0.21,393364176000,4.73,11,24,优刻得-W,7.49
285,286,医疗器械概念,BK0668,3732.45,-8.22,-0.22,4714079488000,1.93,120,184,新华锦,9.98
286,287,动力电池回收,BK1052,702.63,-1.52,-0.22,671089904000,1.89,22,16,光华科技,4.38
287,288,海工装备,BK0601,1718.46,-3.81,-0.22,1196053568000,1.51,25,25,海兰信,2.76
