,排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
0,1,昨日连板_含一字,BK1051,20046.44,1305.61,6.97,78609891000,12.76,14,1,中嘉博创,10.09
1,2,昨日连板,BK0816,91.74,5.15,5.95,58065476000,16.01,9,1,菲林格尔,9.96
2,3,VPN,BK0885,1188.79,42.11,3.67,308449456000,6.7,16,2,南凌科技,19.99
3,4,赛马概念,BK0709,743.11,16.86,2.32,11717439000,7.51,2,1,海南瑞泽,7.49
4,5,民爆概念,BK1066,1348.05,28.6,2.17,172176564000,2.56,15,2,高争民爆,6.56
5,6,昨日涨停_含一字,BK1050,645.31,11.98,1.89,619199376000,11.97,45,31,中嘉博创,10.09
6,7,滨海新区,BK0566,10327.96,179.84,1.77,205155635000,2.98,11,8,海泰发展,9.95
7,8,草甘膦,BK0950,1563.4,24.33,1.58,163748636000,1.72,10,3,扬农化工,5.18
8,9,房屋检测,BK1179,1325.17,19.43,1.49,209900586000,2.68,29,8,重庆建工,9.88
9,10,肝素概念,BK0944,945.71,13.75,1.48,229449537000,2.61,7,5,常山药业,15.12
10,11,供销社概念,BK1109,1094.72,15.95,1.48,133346683000,1.7,12,2,湖南发展,9.98
11,12,昨日涨停,BK0815,2003.45,28.87,1.46,601972912000,12.32,40,31,华体科技,10.01
12,13,F5G概念,BK1088,2279.38,32.68,1.45,544268576000,1.31,17,4,剑桥科技,7.84
13,14,东数西算,BK1064,1566.15,21.85,1.41,1015746608000,2.86,35,17,南凌科技,19.99
14,15,小金属概念,BK0695,2451.19,33.59,1.39,2810666032000,1.48,71,32,湖南白银,9.89
15,16,长寿药,BK0936,1036.62,13.85,1.35,137136447000,5.19,9,4,银禧科技,8.23
16,17,ST股,BK0511,6133.23,79.94,1.32,673740624000,2.13,123,40,ST峡创,8.4
17,18,油气设服,BK0606,1741.03,22.19,1.29,1762493728000,1.59,36,10,仁智股份,9.98
18,19,氟化工,BK0690,3230.0,40.1,1.26,580935968000,1.11,22,6,永和股份,6.56
19,20,噪声防治,BK1082,1367.63,16.81,1.24,34738910000,5.43,7,1,天铁科技,6.97
20,21,刀片电池,BK0951,2160.78,24.04,1.13,1214583632000,1.85,8,3,德新科技,10.04
21,22,BC电池,BK1148,783.63,8.64,1.11,327760032000,0.94,8,13,杰普特,12.18
22,23,化工原料,BK0512,21379.49,235.03,1.11,1079862704000,1.81,51,19,渤海化学,10.1
23,24,智慧灯杆,BK1069,1437.59,15.57,1.09,121574862000,2.99,17,7,华体科技,10.01
24,25,稀缺资源,BK0519,22289.18,238.94,1.08,3105787872000,1.22,65,9,贵研铂业,6.62
25,26,HIT电池,BK0908,2028.48,21.24,1.06,532442752000,1.22,22,15,航天机电,10.06
26,27,PVDF概念,BK1012,826.62,8.6,1.05,267805592000,1.7,9,4,永和股份,6.56
27,28,海绵城市,BK0724,977.6,9.98,1.03,282782048000,2.37,22,13,海南瑞泽,7.49
28,29,国资云概念,BK1008,1534.78,15.5,1.02,375663408000,3.94,11,7,美利云,10.04
29,30,微盘股,BK1158,2499.03,25.02,1.01,827935728000,3.44,312,78,华体科技,10.01
30,31,磷化工,BK1010,684.36,6.42,0.95,714976048000,1.41,34,9,洛阳钼业,3.97
31,32,黄金概念,BK0547,13777.84,130.33,0.95,1876269088000,1.99,42,23,湖南白银,9.89
32,33,煤化工,BK0492,9169.87,85.01,0.94,2319082816000,0.86,55,13,丹化科技,10.16
33,34,地下管网,BK1058,1008.85,9.12,0.91,306928704000,1.82,33,13,金洲管道,4.93
34,35,超导概念,BK0679,4469.46,39.35,0.89,248464309000,5.69,8,7,百利电气,9.96
35,36,汽车拆解,BK0943,1104.57,9.46,0.86,253820425000,2.09,11,6,浩通科技,11.72
36,37,商汤概念,BK0942,1190.11,10.14,0.86,470066928000,1.36,10,4,星宸科技,4.07
37,38,磁悬浮概念,BK0975,1760.72,15.09,0.86,705380688000,1.07,18,9,华伍股份,8.26
38,39,装配建筑,BK0945,973.53,8.17,0.85,1379420064000,1.03,61,22,重庆建工,9.88
39,40,存储芯片,BK1137,1302.17,10.88,0.84,1021555328000,2.52,33,23,大为股份,10.01
40,41,页岩气,BK0603,2057.04,16.75,0.82,2585613376000,0.28,20,10,中洲特材,6.26
41,42,复合集流体,BK1113,812.03,6.61,0.82,203966356000,2.46,14,13,宝明科技,10.0
42,43,低碳冶金,BK0979,891.76,7.09,0.8,294308960000,0.38,7,0,首钢股份,1.72
43,44,环氧丙烷,BK1011,595.51,4.51,0.76,444059056000,1.17,12,6,永和股份,6.56
44,45,LED,BK0580,3233.06,24.51,0.76,1269982992000,1.48,55,38,华体科技,10.01
45,46,新型城镇化,BK1080,951.11,6.97,0.74,443090896000,3.66,68,29,重庆建工,9.88
46,47,CPO概念,BK1128,2553.73,18.71,0.74,1201121168000,2.77,26,15,剑桥科技,7.84
47,48,数据安全,BK1047,989.12,7.15,0.73,971166672000,2.61,53,27,南凌科技,19.99
48,49,MLCC,BK0890,1909.33,13.45,0.71,198660433000,1.93,7,7,博迁新材,5.64
49,50,水利建设,BK0597,1690.62,11.8,0.7,2025805872000,1.66,65,29,湖南发展,9.98
50,51,腾讯云,BK1189,891.64,6.18,0.7,563863312000,4.38,12,10,二六三,10.05
51,52,猪肉概念,BK0882,1291.69,8.93,0.7,802450176000,1.18,25,7,罗 牛 山,8.36
52,53,锂矿概念,BK1173,1123.0,7.57,0.68,2396442848000,1.01,22,14,大为股份,10.01
53,54,京津冀,BK0684,1635.86,10.91,0.67,575732544000,1.72,33,17,海泰发展,9.95
54,55,WiFi,BK0915,1137.81,7.3,0.65,506904224000,1.35,14,12,剑桥科技,7.84
55,56,固态电池,BK0968,1646.71,10.61,0.65,5258575104000,1.7,109,80,德新科技,10.04
56,57,远程办公,BK0912,1431.21,9.12,0.64,715884048000,3.33,19,18,石基信息,10.01
57,58,生态农业,BK0669,1305.65,8.32,0.64,249541857000,2.11,28,8,恒兴新材,7.8
58,59,时空大数据,BK1130,1275.95,7.93,0.63,208760160000,4.72,16,10,中电鑫龙,9.96
59,60,锂电池,BK0574,2970.06,18.27,0.62,7638750976000,2.0,225,150,华体科技,10.01
60,61,PPP模式,BK0721,714.15,4.43,0.62,2264627376000,1.45,97,46,中电鑫龙,9.96
61,62,天然气,BK0843,1360.42,8.09,0.6,4801141760000,0.59,83,35,仁智股份,9.98
62,63,算力概念,BK1134,1571.88,9.32,0.6,6781683456000,2.07,83,61,华体科技,10.01
63,64,CAR-T细胞疗法,BK0986,1032.83,6.08,0.59,440456784000,3.98,7,16,迈威生物-U,17.67
64,65,光通信模块,BK1136,1386.41,8.03,0.58,840585456000,4.08,33,20,华脉科技,10.02
65,66,雄安新区,BK0813,906.33,5.2,0.58,2328094272000,1.47,96,44,中嘉博创,10.09
66,67,广电,BK0904,1504.36,8.66,0.58,240913081000,2.5,13,14,创维数字,5.34
67,68,低价股,BK1053,1027.33,5.86,0.57,1915505024000,1.23,107,54,白银有色,10.0
68,69,换电概念,BK0985,1360.92,7.56,0.56,786950080000,1.45,24,20,英飞特,8.84
69,70,钙钛矿电池,BK1094,708.86,3.98,0.56,516725936000,1.04,15,12,杰普特,12.18
70,71,网络安全,BK0655,4294.09,23.84,0.56,5005978112000,1.91,71,56,南凌科技,19.99
71,72,边缘计算,BK0860,1992.74,10.93,0.55,2797820432000,1.87,64,54,华体科技,10.01
72,73,有机硅,BK0961,1231.02,6.6,0.54,277938704000,1.55,20,9,博菲电气,3.37
73,74,免税概念,BK0927,1324.04,6.96,0.53,928280192000,0.86,14,12,海南高速,5.33
74,75,ETC,BK0875,1667.62,8.83,0.53,377292704000,3.5,23,21,楚天龙,10.03
75,76,农业种植,BK0888,2252.89,11.88,0.53,743898192000,2.57,52,26,永悦科技,10.03
76,77,并购重组概念,BK1181,1070.17,5.29,0.5,2108334832000,1.87,45,56,青岛双星,10.0
77,78,一带一路,BK0712,1341.39,6.62,0.5,13706275072000,0.78,294,155,德新科技,10.04
78,79,云计算,BK0579,3058.54,15.21,0.5,7912503808000,2.34,119,104,石基信息,10.01
79,80,数据中心,BK0922,1739.41,8.53,0.49,6495796992000,2.6,110,95,中电鑫龙,9.96
80,81,可燃冰,BK0818,1260.32,6.06,0.48,229871109000,0.65,5,4,潜能恒信,4.84
81,82,水产养殖,BK0967,882.29,3.97,0.45,247977043000,2.13,9,6,*ST佳沃,5.92
82,83,铜缆高速连接,BK1168,1515.4,6.84,0.45,538570208000,3.55,21,15,华脉科技,10.02
83,84,量子科技,BK0710,2370.22,10.72,0.45,1224426848000,1.59,25,19,楚天龙,10.03
84,85,AI芯片,BK1127,1315.0,5.87,0.45,1218271424000,1.63,15,13,景嘉微,4.5
85,86,铁路基建,BK0592,2478.03,10.75,0.44,2915109696000,0.87,70,41,四方新材,9.97
86,87,电子车牌,BK0982,1385.65,6.03,0.44,154590236000,3.66,11,6,厦门信达,10.08
87,88,幽门螺杆菌概念,BK1056,909.46,3.95,0.44,500482816000,3.13,25,25,海辰药业,20.0
88,89,股权转让,BK0803,679.24,3.0,0.44,194955898000,2.28,22,19,丹化科技,10.16
89,90,MiniLED,BK0902,1654.37,7.12,0.43,855381792000,1.34,36,24,宝明科技,10.0
90,91,维生素,BK0895,1849.67,7.98,0.43,466666608000,1.71,16,13,新诺威,20.0
91,92,京东金融,BK0849,1601.13,6.76,0.42,247874452000,1.35,5,6,ST峡创,8.4
92,93,智能电视,BK0656,1103.51,4.51,0.41,253321169000,1.62,6,6,创维数字,5.34
93,94,智慧城市,BK0628,5197.38,20.96,0.4,2424255424000,2.61,111,100,华体科技,10.01
94,95,破净股,BK1112,1326.59,5.2,0.39,21708643072000,0.4,228,117,重庆建工,9.88
95,96,节能环保,BK0494,11623.4,45.47,0.39,3733687392000,1.91,233,159,长青股份,9.95
96,97,钠离子电池,BK0988,1296.41,4.91,0.38,1886044272000,1.25,29,19,领湃科技,9.12
97,98,土壤修复,BK1070,808.97,3.05,0.38,192096105000,2.32,23,10,兴欣新材,4.77
98,99,超级电容,BK0703,3645.03,13.97,0.38,468932960000,2.19,17,14,金时科技,9.98
99,100,西部大开发,BK0590,2900.21,10.65,0.37,11072102400000,1.66,315,263,易明医药,9.97
100,101,植物照明,BK1007,946.88,3.26,0.35,154557147000,1.72,10,8,英飞特,8.84
101,102,北交所概念,BK0925,1680.67,5.83,0.35,313452992000,2.59,15,10,石英股份,5.13
102,103,中特估,BK1139,1071.42,3.68,0.34,23717635072000,0.21,55,21,中国电建,2.95
103,104,净水概念,BK1068,1150.93,3.8,0.33,1148914160000,0.75,11,8,兴欣新材,4.77
104,105,预亏预减,BK0570,1972.42,6.27,0.32,10148702976000,2.17,647,532,华体科技,10.01
105,106,数字经济,BK1061,1235.07,3.97,0.32,1768811456000,4.07,86,82,中电鑫龙,9.96
106,107,工业气体,BK0981,1474.76,4.53,0.31,379759696000,1.35,15,11,中泰股份,4.57
107,108,信创,BK1104,1760.1,5.45,0.31,3462264800000,3.84,115,119,中电鑫龙,9.96
108,109,预盈预增,BK0571,4793.4,14.53,0.3,15637756672000,2.36,569,510,中嘉博创,10.09
109,110,彩票概念,BK0671,2670.69,8.12,0.3,194842426000,3.5,8,11,金陵体育,8.92
110,111,电子后视镜,BK1125,1562.77,4.64,0.3,369088304000,2.46,11,12,好上好,5.8
111,112,免疫治疗,BK0698,1450.48,4.23,0.29,495749584000,2.01,18,25,迈威生物-U,17.67
112,113,超级真菌,BK0862,1074.47,2.98,0.28,573193856000,1.79,8,10,博瑞医药,4.86
113,114,参股新三板,BK0600,2532.89,7.08,0.28,1407831344000,2.4,48,53,海泰发展,9.95
114,115,新材料,BK0523,26319.28,73.46,0.28,4043462384000,1.95,183,156,浙江众成,9.94
115,116,TOPCon电池,BK1097,650.38,1.81,0.28,500258288000,1.37,20,20,帝科股份,7.26
116,117,超清视频,BK0859,1762.47,4.9,0.28,2271172752000,1.55,50,45,国科微,5.48
117,118,粮食概念,BK1086,788.14,2.19,0.28,240592099000,2.29,20,10,辉隆股份,2.77
118,119,抽水蓄能,BK1003,1289.71,3.59,0.28,894573200000,0.91,16,11,顺钠股份,4.73
119,120,鸡肉概念,BK0887,772.77,2.03,0.26,364350864000,0.82,13,4,巨星农牧,3.51
120,121,中字头,BK0505,7968.13,20.91,0.26,15180145152000,0.3,58,32,中国科传,4.57
121,122,高带宽内存,BK1152,919.49,2.28,0.25,159685970000,3.33,7,7,香农芯创,3.83
122,123,乡村振兴,BK0834,1498.41,3.73,0.25,1440215248000,2.13,76,50,罗 牛 山,8.36
123,124,REITs概念,BK0992,814.16,2.03,0.25,812440880000,0.75,13,10,东湖高新,2.8
124,125,央国企改革,BK0683,4304.96,10.27,0.24,46469843456000,0.86,726,588,海泰发展,9.95
125,126,星闪概念,BK1149,1369.16,2.95,0.22,483586304000,2.33,14,23,博通集成,5.92
126,127,氢能源,BK0864,1144.92,2.57,0.22,4432158208000,1.22,130,106,渤海化学,10.1
127,128,物联网,BK0554,14359.63,29.53,0.21,8476169472000,2.35,178,175,中电鑫龙,9.96
128,129,石墨烯,BK0617,2044.88,4.34,0.21,782887408000,2.19,30,35,青岛双星,10.0
129,130,土地流转,BK0632,1558.09,3.08,0.2,424318768000,1.86,29,13,廊坊发展,3.92
130,131,转基因,BK0907,1436.21,2.93,0.2,122133893000,1.29,10,5,康农种业,2.43
131,132,降解塑料,BK0909,1678.84,3.34,0.2,671905424000,1.41,36,27,丹化科技,10.16
132,133,尾气治理,BK0932,1529.27,3.1,0.2,243513636000,3.28,15,19,贵研铂业,6.62
133,134,流感,BK0906,1555.09,3.18,0.2,1366010496000,2.25,55,54,恒兴新材,7.8
134,135,机构重仓,BK0552,14215.47,28.1,0.2,42195734272000,0.67,470,420,菲林格尔,9.96
135,136,空间计算,BK1143,1288.41,2.46,0.19,140660394000,2.71,11,12,华设集团,5.21
136,137,钛白粉,BK0805,1049.1,1.98,0.19,151291407000,1.26,9,3,安宁股份,4.93
137,138,华为海思,BK1180,1411.45,2.59,0.18,718365168000,2.56,18,20,好上好,5.8
138,139,工业大麻,BK0856,1720.91,3.12,0.18,399679456000,2.94,21,17,金鹰股份,10.03
139,140,碳交易,BK0966,1519.77,2.62,0.17,2440460992000,1.04,68,52,中电鑫龙,9.96
140,141,东北振兴,BK0838,1109.07,1.92,0.17,639561712000,1.42,30,25,梦网科技,3.76
141,142,在线教育,BK0662,2061.55,3.49,0.17,1442576400000,2.6,49,65,二六三,10.05
142,143,重组蛋白,BK1063,981.46,1.56,0.16,225043641000,3.31,3,13,迈威生物-U,17.67
143,144,钒电池,BK1095,1102.8,1.8,0.16,480452496000,0.77,11,6,安宁股份,4.93
144,145,碳基材料,BK1006,811.86,1.29,0.16,173929184000,1.98,10,8,翔丰华,3.4
145,146,建筑节能,BK1076,953.23,1.41,0.15,214020141000,2.98,26,13,中衡设计,10.02
146,147,国家安防,BK0667,2919.35,4.5,0.15,1576390960000,2.14,56,55,中电鑫龙,9.96
147,148,氦气概念,BK0949,1530.22,2.32,0.15,96696685000,10.0,5,6,中泰股份,4.57
148,149,中俄贸易概念,BK1072,1447.53,2.02,0.14,535449360000,1.93,34,30,中洲特材,6.26
149,150,IPO受益,BK0697,3078.38,4.19,0.14,2156391712000,1.44,31,23,航天机电,10.06
150,151,减肥药,BK1146,1094.92,1.39,0.13,470426256000,2.69,14,15,海创药业-U,8.02
151,152,户外露营,BK1079,1342.11,1.78,0.13,138009094000,3.51,9,14,趣睡科技,5.92
152,153,上证50_,BK0611,1810.5,2.38,0.13,27402402048000,0.17,30,19,洛阳钼业,3.97
153,154,转债标的,BK0528,9805.25,11.48,0.12,7184565504000,1.3,224,236,华体科技,10.01
154,155,小米概念,BK0833,1807.96,2.13,0.12,3006440128000,2.01,85,115,二六三,10.05
155,156,玻璃基板,BK1175,1282.82,1.55,0.12,448801152000,1.1,17,15,联赢激光,3.83
156,157,储能,BK0989,1746.23,1.95,0.11,7827651840000,1.4,169,156,中电鑫龙,9.96
157,158,气溶胶检测,BK1065,1324.26,1.45,0.11,197521048000,0.97,6,4,ST天瑞,2.59
158,159,数字水印,BK1129,1059.01,1.13,0.11,113886744000,5.2,10,8,ST证通,2.59
159,160,合成生物,BK1174,1205.68,1.34,0.11,1359500592000,2.43,47,60,昂利康,9.98
160,161,绿色电力,BK1024,1067.11,1.15,0.11,4814281216000,0.75,71,51,湖南发展,9.98
161,162,新能源,BK0493,14753.59,16.87,0.11,5849509888000,1.45,108,84,今创集团,10.04
162,163,5G概念,BK0714,1237.93,1.42,0.11,8177154816000,2.0,150,161,中嘉博创,10.09
163,164,纳米银,BK0855,1688.14,1.66,0.1,78602086000,2.21,2,6,扬子新材,2.58
164,165,垃圾分类,BK0873,1435.46,1.4,0.1,806521776000,2.09,51,44,浩通科技,11.72
165,166,全息技术,BK0699,2476.26,2.51,0.1,154991951000,1.39,5,5,*ST迪威,4.68
166,167,ERP概念,BK1133,1196.95,1.23,0.1,232621119000,1.74,10,8,致远互联,2.06
167,168,富士康,BK0842,1684.74,1.74,0.1,469588288000,1.96,16,19,*ST合泰,3.69
168,169,3D打印,BK0619,5625.59,5.55,0.1,583802192000,2.76,29,32,杰普特,12.18
169,170,大数据,BK0634,4864.43,4.45,0.09,4915268096000,2.66,139,158,中嘉博创,10.09
170,171,证金持股,BK0718,1311.09,1.18,0.09,37436605184000,0.33,118,103,石基信息,10.01
171,172,深圳特区,BK0549,31759.82,24.71,0.08,9350940928000,1.4,155,178,大为股份,10.01
172,173,太阳能,BK0588,3110.32,2.4,0.08,7320514560000,1.31,195,189,湖南发展,9.98
173,174,AIPC,BK1164,1440.89,1.11,0.08,896755328000,1.62,21,20,生益电子,8.0
174,175,上证180_,BK0612,1478.54,1.13,0.08,43459524608000,0.27,96,73,兆易创新,4.7
175,176,特高压,BK0918,1812.73,1.33,0.07,1036876688000,1.68,32,43,国际实业,5.77
176,177,消毒剂,BK0913,1350.34,0.97,0.07,569629008000,1.84,33,23,光华科技,4.38
177,178,华为概念,BK0854,3320.58,2.16,0.07,12993703424000,2.28,315,399,中嘉博创,10.09
178,179,液冷概念,BK1138,1164.53,0.81,0.07,1095626528000,2.84,29,33,剑桥科技,7.84
179,180,燃料电池,BK0682,3280.72,2.26,0.07,2404905472000,1.76,60,80,华培动力,8.04
180,181,半导体概念,BK0917,1597.44,0.95,0.06,7662603008000,1.55,166,186,贵研铂业,6.62
181,182,标准普尔,BK0879,1462.93,0.82,0.06,57197412352000,0.68,477,515,中嘉博创,10.09
182,183,智慧政务,BK0886,1384.49,0.78,0.06,672181520000,4.1,35,47,中电鑫龙,9.96
183,184,AI手机,BK1162,1341.05,0.73,0.05,711806592000,1.87,16,18,每日互动,5.12
184,185,DeepSeek概念,BK1188,1208.37,0.61,0.05,3700744832000,2.71,94,137,南凌科技,19.99
185,186,AB股,BK0498,11253.85,5.23,0.05,1334318320000,1.52,34,34,丹化科技,10.16
186,187,裸眼3D,BK1142,1013.98,0.48,0.05,277757296000,1.12,10,11,康达新材,5.23
187,188,风能,BK0595,2029.28,0.74,0.04,6396683520000,0.99,106,97,华伍股份,8.26
188,189,IPv6,BK0897,1226.18,0.43,0.04,539401200000,1.08,6,5,神州泰岳,1.82
189,190,OLED,BK0840,2471.91,0.93,0.04,2037714192000,1.64,64,60,银禧科技,8.23
190,191,阿兹海默,BK0894,1858.74,0.83,0.04,161689051000,4.35,6,8,万邦德,5.73
191,192,专精特新,BK1005,1235.91,0.55,0.04,7936639488000,3.49,562,610,洛凯股份,9.99
192,193,中芯概念,BK0935,1253.09,0.53,0.04,2312188336000,1.28,36,27,帝科股份,7.26
193,194,B股,BK0636,829.95,0.23,0.03,676208496000,0.15,31,30,丹科B股,3.03
194,195,白酒,BK0896,2136.28,0.66,0.03,3462655056000,1.14,20,23,广东明珠,5.71
195,196,充电桩,BK0700,2428.78,0.69,0.03,4179101280000,2.56,104,129,华体科技,10.01
196,197,国产芯片,BK0891,3102.15,0.62,0.02,9571754240000,2.06,156,200,大为股份,10.01
197,198,中药概念,BK0615,2163.48,0.49,0.02,2013201360000,1.98,62,73,易明医药,9.97
198,199,生物质能发电,BK1098,981.19,0.19,0.02,205497132000,1.21,11,9,钱江生化,1.73
